"Wavelength, µm",n,k
4.1841,10.414,35.945
4.2017,10.494,36.072
4.2194,10.569,36.19
4.2373,10.631,36.322
4.2553,10.711,36.447
4.2735,10.777,36.584
4.2918,10.862,36.715
4.3103,10.942,36.838
4.329,11.008,36.975
4.3478,11.093,37.104
4.3668,11.162,37.246
4.386,11.25,37.378
4.4053,11.322,37.524
4.4248,11.415,37.663
4.4444,11.501,37.792
4.4643,11.572,37.933
4.4843,11.652,38.089
4.5045,11.75,38.235
4.5249,11.842,38.37
4.5455,11.921,38.522
4.5662,12.018,38.664
4.5872,12.1,38.821
4.6083,12.201,38.967
4.6296,12.287,39.128
4.6512,12.394,39.282
4.6729,12.496,39.427
4.6948,12.584,39.59
4.717,12.695,39.747
4.7393,12.801,39.895
4.7619,12.893,40.063
4.7847,13.009,40.225
4.8077,13.122,40.381
4.8309,13.232,40.532
4.8544,13.329,40.704
4.878,13.452,40.871
4.902,13.571,41.032
4.9261,13.687,41.188
4.9505,13.79,41.367
4.9751,13.92,41.54
5,14.048,41.708
5.0251,14.176,41.877
5.0505,14.305,42.045
5.0761,14.436,42.214
5.102,14.568,42.384
5.1282,14.701,42.555
5.1546,14.836,42.726
5.1813,14.972,42.898
5.2083,15.11,43.072
5.2356,15.25,43.246
5.2632,15.392,43.421
5.291,15.535,43.598
5.3191,15.681,43.777
5.3476,15.831,43.958
5.3763,15.986,44.145
5.4054,16.158,44.306
5.4348,16.302,44.476
5.4645,16.453,44.654
5.4945,16.606,44.833
5.5249,16.763,45.015
5.5556,16.924,45.2
5.5866,17.091,45.393
5.618,17.276,45.556
5.6497,17.431,45.73
5.6818,17.593,45.911
5.7143,17.758,46.095
5.7471,17.926,46.28
5.7803,18.097,46.466
5.814,18.269,46.654
5.848,18.444,46.842
5.8824,18.622,47.032
5.9172,18.801,47.222
5.9524,18.982,47.413
5.988,19.166,47.605
6.0241,19.351,47.798
6.0606,19.539,47.99
6.0976,19.728,48.183
6.135,19.917,48.375
6.1728,20.102,48.561
6.2112,20.273,48.783
6.25,20.483,48.991
6.2893,20.687,49.192
6.3291,20.885,49.385
6.3694,21.069,49.615
6.4103,21.292,49.829
6.4516,21.508,50.034
6.4935,21.716,50.232
6.5359,21.911,50.468
6.5789,22.145,50.685
6.6225,22.365,50.889
6.6667,22.571,51.131
6.7114,22.816,51.354
6.7568,23.047,51.561
6.8027,23.262,51.809
6.8493,23.518,52.036
6.8966,23.758,52.247
6.9444,23.982,52.498
6.993,24.24,52.721
7.0423,24.474,52.979
7.0922,24.743,53.206
7.1429,24.988,53.47
7.1942,25.267,53.703
7.2464,25.524,53.974
7.2993,25.824,54.219
7.3529,26.105,54.446
7.4074,26.372,54.721
7.4627,26.684,54.968
7.5188,26.979,55.199
7.5758,27.259,55.478
7.6336,27.586,55.729
7.6923,27.894,55.963
7.7519,28.189,56.248
7.8125,28.531,56.502
7.874,28.855,56.739
7.9365,29.165,57.03
8,29.524,57.287
8.0645,29.864,57.528
8.1301,30.192,57.825
8.1967,30.572,58.088
8.2645,30.941,58.339
8.3333,31.297,58.579
8.4034,31.643,58.879
8.4746,32.044,59.142
8.547,32.432,59.393
8.6207,32.807,59.633
8.6957,33.171,59.933
8.7719,33.578,60.186
8.8496,33.963,60.496
8.9286,34.402,60.761
9.009,34.814,61.007
9.0909,35.216,61.317
9.1743,35.672,61.581
9.2593,36.1,61.825
9.3458,36.516,62.135
9.434,36.975,62.388
9.5238,37.41,62.703
9.6154,37.885,62.957
9.7087,38.335,63.273
9.8039,38.825,63.527
9.901,39.289,63.844
10,39.791,64.095
10.101,40.253,64.404
10.2041,40.762,64.734
10.3093,41.294,64.987
10.4167,41.779,65.298
10.5263,42.3,65.622
10.6383,42.856,65.959
10.7527,43.429,66.211
10.8696,43.951,66.525
10.989,44.505,66.849
11.1111,45.078,67.176
11.236,45.665,67.506
11.3636,46.265,67.838
11.4943,46.879,68.17
11.6279,47.505,68.502
11.7647,48.14,68.834
11.9048,48.767,69.158
12.0482,49.415,69.585
12.1951,50.148,69.937
12.3457,50.874,70.282
12.5,51.611,70.623
