"Wavelength, µm","n","k"
3.8464,1.5597,0.00319
3.8578,1.55988,0.00322
3.8693,1.55972,0.00326
3.8809,1.55938,0.00331
3.8926,1.55896,0.00326
3.9043,1.55875,0.003
3.9161,1.55887,0.00266
3.928,1.55887,0.00256
3.9399,1.55866,0.00273
3.9519,1.55855,0.00297
3.964,1.55858,0.00297
3.9762,1.55843,0.00291
3.9884,1.55839,0.00309
4.0007,1.55857,0.00329
4.0131,1.55861,0.00326
4.0255,1.5584,0.00304
4.0381,1.55822,0.00283
4.0507,1.55804,0.00276
4.0634,1.55792,0.00284
4.0762,1.55779,0.00283
4.089,1.55757,0.00286
4.102,1.55727,0.00292
4.115,1.55716,0.00296
4.1281,1.55718,0.00302
4.1413,1.55739,0.00289
4.1546,1.55747,0.0026
4.1679,1.55724,0.00258
4.1814,1.55699,0.00288
4.1949,1.55713,0.00323
4.2085,1.55751,0.0035
4.2222,1.55757,0.00366
4.236,1.55669,0.00383
4.2499,1.55643,0.00379
4.2639,1.55646,0.00367
4.278,1.5563,0.00379
4.2921,1.55709,0.00382
4.3064,1.55771,0.00362
4.3208,1.55718,0.0033
4.3352,1.55666,0.00297
4.3498,1.55664,0.00288
4.3644,1.55657,0.00293
4.3791,1.55643,0.00298
4.394,1.55627,0.00302
4.4089,1.55631,0.00304
4.424,1.55644,0.00285
4.4391,1.55643,0.00259
4.4544,1.55641,0.0025
4.4697,1.55634,0.00275
4.4852,1.55621,0.00299
4.5008,1.55614,0.00307
4.5165,1.55585,0.0032
4.5323,1.55561,0.00328
4.5482,1.5557,0.00318
4.5642,1.55575,0.00312
4.5803,1.55531,0.00305
4.5965,1.55514,0.00297
4.6129,1.55533,0.00293
4.6294,1.55535,0.00289
4.646,1.55495,0.00284
4.6627,1.55465,0.00263
4.6795,1.55464,0.00246
4.6965,1.55475,0.0027
4.7136,1.5547,0.00305
4.7308,1.55428,0.00321
4.7481,1.55408,0.0031
4.7655,1.55416,0.0028
4.7831,1.55415,0.0027
4.8008,1.55417,0.0028
4.8187,1.5542,0.00298
4.8367,1.55417,0.0031
4.8548,1.5541,0.00306
4.873,1.55375,0.00306
4.8914,1.5533,0.00304
4.91,1.55332,0.00286
4.9286,1.55334,0.00292
4.9474,1.5531,0.00323
4.9664,1.55286,0.00325
4.9855,1.55265,0.00303
5.0047,1.55226,0.00302
5.0241,1.55203,0.00324
5.0437,1.55185,0.00341
5.0634,1.55126,0.00355
5.0832,1.55079,0.00437
5.1033,1.55096,0.00521
5.1234,1.55143,0.00574
5.1438,1.55238,0.00626
5.1643,1.55309,0.00586
5.1849,1.55309,0.00494
5.2057,1.55291,0.00416
5.2267,1.55242,0.00344
5.2479,1.55154,0.00329
5.2692,1.55087,0.00377
5.2907,1.55092,0.00443
5.3124,1.55125,0.00512
5.3343,1.55189,0.00573
5.3563,1.55271,0.00566
5.3785,1.55289,0.00466
5.4009,1.55242,0.00374
5.4235,1.55176,0.00341
5.4463,1.55092,0.00365
5.4693,1.54993,0.00402
5.4925,1.54945,0.00434
5.5159,1.55002,0.00509
5.5394,1.55082,0.00596
5.5632,1.55129,0.00564
5.5872,1.55144,0.00451
5.6114,1.55129,0.00369
5.6358,1.55042,0.00356
5.6604,1.54767,0.00541
5.6852,1.54548,0.0098
5.7103,1.5469,0.0136
5.7355,1.55012,0.0146
5.761,1.55263,0.0127
5.7867,1.55358,0.00984
5.8127,1.55303,0.00833
5.8389,1.55243,0.0072
5.8653,1.55166,0.00626
5.8919,1.55034,0.00598
5.9188,1.5498,0.00572
5.946,1.54978,0.00546
5.9734,1.54902,0.00558
6.0011,1.54853,0.00543
6.029,1.5488,0.00487
6.0571,1.5483,0.00458
6.0856,1.5472,0.00469
6.1143,1.54587,0.00457
6.1433,1.5446,0.00441
6.1725,1.54228,0.00479
6.202,1.53801,0.0098
6.2319,1.54106,0.0185
6.262,1.551,0.0187
6.2924,1.55443,0.0124
6.3231,1.55355,0.00944
6.3541,1.55229,0.00664
6.3854,1.54999,0.00461
6.417,1.54766,0.00457
6.4489,1.54569,0.00546
6.4811,1.54468,0.00575
6.5137,1.5438,0.00491
6.5466,1.542,0.00442
6.5798,1.53885,0.0047
6.6134,1.53305,0.00469
6.6473,1.52191,0.0152
6.6816,1.53047,0.0385
6.7162,1.55656,0.0371
6.7512,1.56128,0.0167
6.7865,1.54797,0.00757
6.8223,1.53477,0.0121
6.8583,1.53216,0.0345
6.8948,1.55525,0.0496
6.9317,1.57473,0.0336
6.969,1.57327,0.0153
7.0066,1.56564,0.00867
7.0447,1.56021,0.00645
7.0832,1.55686,0.00555
7.1221,1.55434,0.00547
7.1615,1.55165,0.00664
7.2013,1.54919,0.00969
7.2415,1.54836,0.0139
7.2822,1.54989,0.0169
7.3233,1.55292,0.0169
7.3649,1.5543,0.0145
7.407,1.55372,0.0124
7.4496,1.55275,0.011
7.4926,1.55139,0.0103
7.5362,1.55114,0.0101
7.5803,1.55236,0.0103
7.6249,1.55343,0.0105
7.67,1.55343,0.0105
7.7156,1.55233,0.0103
7.7618,1.55192,0.0104
7.8086,1.55172,0.00992
7.8559,1.54956,0.00962
7.9038,1.54608,0.0121
7.9523,1.54331,0.0172
8.0014,1.542,0.0236
8.0511,1.54343,0.0289
8.1014,1.54802,0.0314
8.1524,1.55321,0.0298
8.204,1.55586,0.0257
8.2562,1.5564,0.0209
8.3091,1.55559,0.0171
8.3628,1.55301,0.0149
8.4171,1.55099,0.0144
8.4721,1.55104,0.0145
8.5278,1.5515,0.0138
8.5843,1.54998,0.0145
8.6415,1.5499,0.0155
8.6995,1.55147,0.0135
8.7583,1.55161,0.0106
8.8179,1.55022,0.01
8.8783,1.54766,0.0107
8.9395,1.54586,0.0115
9.0016,1.54482,0.0122
9.0645,1.5419,0.0128
9.1284,1.53896,0.0148
9.1931,1.53765,0.019
9.2588,1.53795,0.025
9.3254,1.54121,0.0306
9.393,1.54636,0.0318
9.4615,1.55001,0.0311
9.5311,1.55209,0.0306
9.6017,1.55102,0.0311
9.6733,1.55269,0.0354
9.7461,1.56222,0.0354
9.8199,1.56781,0.0262
9.8949,1.56524,0.0193
9.971,1.56224,0.0166
10.048,1.55968,0.0141
10.127,1.55747,0.0132
10.207,1.55574,0.0137
10.288,1.55526,0.0147
10.37,1.55465,0.0144
10.453,1.55306,0.0123
10.538,1.55192,0.0115
10.625,1.55098,0.0121
10.713,1.54956,0.0119
10.802,1.54717,0.0127
10.893,1.54469,0.0162
10.985,1.54702,0.0204
11.079,1.55262,0.0196
11.174,1.5539,0.0133
11.272,1.55142,0.00886
11.37,1.54911,0.00835
11.471,1.5451,0.00818
11.573,1.54091,0.00804
11.678,1.53725,0.00907
11.784,1.53594,0.0113
11.892,1.5369,0.0116
12.002,1.53612,0.00975
12.114,1.53241,0.00856
12.229,1.52903,0.00748
12.345,1.52404,0.00654
12.464,1.51713,0.00822
12.585,1.50745,0.0104
12.708,1.49456,0.0147
12.834,1.48175,0.0289
12.962,1.47675,0.0572
13.093,1.49226,0.0891
13.227,1.52708,0.105
13.363,1.56176,0.0907
13.502,1.57437,0.0566
13.645,1.5576,0.0282
13.79,1.52389,0.0177
13.938,1.4675,0.0217
14.089,1.40602,0.132
14.244,1.51292,0.322
14.403,1.72776,0.29
14.564,1.75952,0.0905
14.73,1.67295,0.0167
14.899,1.64037,0.0173
15.072,1.62211,0.0128
15.25,1.61111,0.0118
15.431,1.60119,0.0106
15.617,1.59346,0.0113
15.808,1.58726,0.0122
16.003,1.58261,0.0142
16.203,1.58041,0.0154
16.408,1.57934,0.0167
16.618,1.57655,0.0186
16.834,1.57118,0.0189
17.056,1.56573,0.0182
17.283,1.56074,0.0227
17.517,1.55877,0.0308
17.757,1.55947,0.0377
18.003,1.56334,0.0445
18.257,1.57361,0.057
18.518,1.59413,0.0637
18.786,1.61088,0.0486
19.062,1.61181,0.0273
19.347,1.60843,0.0187
19.64,1.60549,0.0193
19.942,1.59856,0.0165
