#Lambda	Bandwidth	AOI	Delta	Psi	Zone	Amin	Pmin	Afix	Pfix	ROIidx	X_pos	Y_pos	Theta_pos
#nm	nm	deg	deg	deg	-	deg	deg	deg	deg	-	mm	mm	deg
658.0	2.0	60.000	175.129	23.108	1	-23.100	-47.434	-23.235	-47.435	000	-30.305	-18.183	0.000
658.0	2.0	60.000	175.689	23.302	3	23.309	42.845	23.249	42.844	000	-30.305	-18.183	0.000
658.0	2.0	64.000	174.830	18.761	4	18.754	47.509	30.000	47.509	000	-30.305	-18.183	0.000
658.0	2.0	64.000	174.517	18.694	2	-18.702	-42.258	-18.769	-42.258	000	-30.305	-18.183	0.000
658.0	2.0	64.000	173.516	18.696	1	-18.687	-48.241	-18.754	-48.241	000	-30.305	-18.183	0.000
658.0	2.0	64.000	174.071	18.892	3	18.901	42.037	18.769	42.037	000	-30.305	-18.183	0.000
658.0	2.0	68.000	172.338	13.091	4	13.083	48.690	30.000	48.690	000	-30.305	-18.183	0.000
658.0	2.0	68.000	171.488	13.389	2	-13.398	-40.747	-13.099	-40.747	000	-30.305	-18.183	0.000
658.0	2.0	68.000	170.438	13.384	1	-13.373	-49.784	-13.083	-49.784	000	-30.305	-18.183	0.000
658.0	2.0	68.000	171.053	13.566	3	13.575	40.531	13.099	40.531	000	-30.305	-18.183	0.000
658.0	2.0	52.000	177.600	30.092	4	30.087	46.200	30.000	46.201	000	-18.183	-18.183	0.000
658.0	2.0	52.000	177.776	29.925	2	-29.930	-43.887	-30.096	-43.887	000	-18.183	-18.183	0.000
658.0	2.0	52.000	176.997	29.935	1	-29.929	-46.501	-30.087	-46.501	000	-18.183	-18.183	0.000
658.0	2.0	52.000	177.592	30.118	3	30.123	43.796	30.097	43.796	000	-18.183	-18.183	0.000
658.0	2.0	56.000	177.054	26.959	4	26.953	46.456	30.000	46.456	000	-18.183	-18.183	0.000
658.0	2.0	56.000	177.116	26.794	2	-26.800	-43.557	-26.965	-43.557	000	-18.183	-18.183	0.000
658.0	2.0	56.000	176.283	26.805	1	-26.798	-46.858	-26.953	-46.858	000	-18.183	-18.183	0.000
658.0	2.0	56.000	176.844	26.993	3	26.999	43.422	26.965	43.422	000	-18.183	-18.183	0.000
658.0	2.0	60.000	176.252	23.247	4	23.241	46.833	30.000	46.833	000	-18.183	-18.183	0.000
658.0	2.0	60.000	176.194	23.102	2	-23.108	-43.096	-23.254	-43.096	000	-18.183	-18.183	0.000
658.0	2.0	60.000	175.251	23.101	1	-23.093	-47.374	-23.241	-47.373	000	-18.183	-18.183	0.000
658.0	2.0	60.000	175.813	23.292	3	23.300	42.907	23.254	42.907	000	-18.183	-18.183	0.000
658.0	2.0	64.000	174.975	18.749	4	18.742	47.437	30.000	47.437	000	-18.183	-18.183	0.000
658.0	2.0	64.000	174.680	18.691	2	-18.699	-42.339	-18.756	-42.340	000	-18.183	-18.183	0.000
658.0	2.0	64.000	173.675	18.692	1	-18.683	-48.162	-18.742	-48.162	000	-18.183	-18.183	0.000
658.0	2.0	64.000	174.231	18.878	3	18.887	42.117	18.756	42.117	000	-18.183	-18.183	0.000
658.0	2.0	68.000	172.544	13.019	4	13.011	48.586	30.000	48.586	000	-18.183	-18.183	0.000
658.0	2.0	68.000	171.715	13.380	2	-13.388	-40.861	-13.026	-40.861	000	-18.183	-18.183	0.000
658.0	2.0	68.000	170.645	13.376	1	-13.366	-49.681	-13.011	-49.682	000	-18.183	-18.183	0.000
658.0	2.0	68.000	171.262	13.555	3	13.565	40.637	13.027	40.637	000	-18.183	-18.183	0.000
658.0	2.0	52.000	177.642	30.090	4	30.085	46.180	30.000	46.179	000	-6.061	-18.183	0.000
658.0	2.0	52.000	177.829	29.928	2	-29.932	-43.913	-30.095	-43.913	000	-6.061	-18.183	0.000
658.0	2.0	52.000	177.042	29.937	1	-29.931	-46.478	-30.086	-46.478	000	-6.061	-18.183	0.000
658.0	2.0	52.000	177.629	30.122	3	30.126	43.815	30.095	43.815	000	-6.061	-18.183	0.000
658.0	2.0	56.000	177.109	26.961	4	26.955	46.428	30.000	46.428	000	-6.061	-18.183	0.000
658.0	2.0	56.000	177.177	26.798	2	-26.804	-43.587	-26.966	-43.588	000	-6.061	-18.183	0.000
658.0	2.0	56.000	176.314	26.798	1	-26.791	-46.842	-26.955	-46.842	000	-6.061	-18.183	0.000
658.0	2.0	56.000	176.892	26.988	3	26.994	43.446	26.966	43.446	000	-6.061	-18.183	0.000
658.0	2.0	60.000	176.316	23.249	4	23.243	46.801	30.000	46.801	000	-6.061	-18.183	0.000
658.0	2.0	60.000	176.274	23.105	2	-23.111	-43.136	-23.255	-43.136	000	-6.061	-18.183	0.000
658.0	2.0	60.000	175.307	23.108	1	-23.100	-47.346	-23.242	-47.346	000	-6.061	-18.183	0.000
658.0	2.0	60.000	175.874	23.294	3	23.301	42.937	23.256	42.937	000	-6.061	-18.183	0.000
658.0	2.0	64.000	175.055	18.764	4	18.757	47.397	30.000	47.397	000	-6.061	-18.183	0.000
658.0	2.0	64.000	174.778	18.696	2	-18.703	-42.388	-18.771	-42.388	000	-6.061	-18.183	0.000
658.0	2.0	64.000	173.752	18.695	1	-18.686	-48.123	-18.757	-48.123	000	-6.061	-18.183	0.000
658.0	2.0	64.000	174.324	18.877	3	18.885	42.163	18.771	42.163	000	-6.061	-18.183	0.000
658.0	2.0	68.000	172.679	13.033	4	13.025	48.518	30.000	48.518	000	-6.061	-18.183	0.000
658.0	2.0	68.000	171.892	13.380	2	-13.389	-40.950	-13.040	-40.950	000	-6.061	-18.183	0.000
658.0	2.0	68.000	170.790	13.380	1	-13.370	-49.609	-13.025	-49.609	000	-6.061	-18.183	0.000
658.0	2.0	68.000	171.408	13.557	3	13.566	40.710	13.040	40.710	000	-6.061	-18.183	0.000
658.0	2.0	52.000	177.610	30.093	4	30.088	46.195	30.000	46.195	000	6.061	-18.183	0.000
658.0	2.0	52.000	177.788	29.924	2	-29.928	-43.893	-30.097	-43.893	000	6.061	-18.183	0.000
658.0	2.0	52.000	177.005	29.937	1	-29.931	-46.497	-30.088	-46.497	000	6.061	-18.183	0.000
658.0	2.0	52.000	177.606	30.120	3	30.125	43.803	30.098	43.803	000	6.061	-18.183	0.000
658.0	2.0	56.000	177.059	26.966	4	26.960	46.453	30.000	46.453	000	6.061	-18.183	0.000
658.0	2.0	56.000	177.126	26.793	2	-26.799	-43.562	-26.972	-43.562	000	6.061	-18.183	0.000
658.0	2.0	56.000	176.278	26.804	1	-26.797	-46.860	-26.960	-46.860	000	6.061	-18.183	0.000
658.0	2.0	56.000	176.848	26.995	3	27.001	43.424	26.971	43.425	000	6.061	-18.183	0.000
658.0	2.0	60.000	176.260	23.243	4	23.237	46.829	30.000	46.829	000	6.061	-18.183	0.000
658.0	2.0	60.000	176.221	23.103	2	-23.109	-43.109	-23.250	-43.109	000	6.061	-18.183	0.000
658.0	2.0	60.000	175.259	23.109	1	-23.101	-47.370	-23.237	-47.370	000	6.061	-18.183	0.000
658.0	2.0	60.000	175.823	23.300	3	23.307	42.912	23.250	42.912	000	6.061	-18.183	0.000
658.0	2.0	64.000	174.996	18.759	4	18.752	47.426	30.000	47.426	000	6.061	-18.183	0.000
658.0	2.0	64.000	174.705	18.696	2	-18.703	-42.352	-18.766	-42.352	000	6.061	-18.183	0.000
658.0	2.0	64.000	173.698	18.695	1	-18.685	-48.151	-18.752	-48.150	000	6.061	-18.183	0.000
658.0	2.0	64.000	174.261	18.882	3	18.890	42.131	18.766	42.131	000	6.061	-18.183	0.000
658.0	2.0	68.000	172.577	12.991	4	12.983	48.569	30.000	48.569	000	6.061	-18.183	0.000
658.0	2.0	68.000	171.785	13.382	2	-13.391	-40.897	-12.999	-40.896	000	6.061	-18.183	0.000
658.0	2.0	68.000	170.704	13.380	1	-13.370	-49.652	-12.983	-49.652	000	6.061	-18.183	0.000
658.0	2.0	68.000	171.315	13.559	3	13.569	40.663	12.998	40.663	000	6.061	-18.183	0.000
658.0	2.0	52.000	177.657	30.095	4	30.090	46.172	30.000	46.172	000	18.189	-18.183	0.000
658.0	2.0	52.000	177.844	29.929	2	-29.934	-43.921	-30.100	-43.921	000	18.183	-18.183	0.000
658.0	2.0	52.000	177.037	29.938	1	-29.932	-46.481	-30.090	-46.481	000	18.183	-18.183	0.000
658.0	2.0	52.000	177.631	30.123	3	30.128	43.816	30.099	43.816	000	18.183	-18.183	0.000
658.0	2.0	56.000	177.120	26.966	4	26.961	46.423	30.000	46.423	000	18.183	-18.183	0.000
